L0_srq,L1_srq,L2_srq,L3_srq,L4_srq,L5_srq,word,field
0.08220687508574848,0.05549811944359951,0.053264185786193984,0.06448179483407247,0.07580187171690035,0.07753028720609541,brown,COLOUR
0.08361981315840622,0.06081991622679306,0.055948353522763755,0.056950177335703324,0.08038532202060791,0.07670367678440015,black,COLOUR
0.08002707094107439,0.05708811027331069,0.05167760635475751,0.053811195719855605,0.07624362863554654,0.07176001797669018,white,COLOUR
0.08574169640184987,0.05848332098021149,0.05384288676631352,0.061647485890773034,0.07739471360405774,0.08203939092385856,grey,COLOUR
0.08574169640184987,0.05848332098021149,0.05384288676631352,0.061647485890773034,0.07739471360405774,0.08203939092385856,grey,COLOUR
0.0809315644583412,0.061643853885606406,0.059059311114572695,0.07532205279795114,0.08159881602531664,0.07661888580089467,violet,COLOUR
0.08586939424267764,0.060625091195045874,0.0618195906280853,0.06336076557629924,0.07948637753717103,0.07646971195928555,gold,COLOUR
0.08529154211274201,0.0590581446885472,0.05569792911404761,0.06369613856070824,0.08270743489257171,0.07286049425594672,silver,COLOUR
0.08495062322004605,0.05826599946421525,0.059648558837287514,0.0678829991360225,0.07766342727374091,0.0785025264616984,beige,COLOUR
0.08332430571309339,0.06044653058046018,0.05208694189781702,0.06263755261891776,0.07539452612392515,0.07648812234394053,azure,COLOUR
0.08188508964946549,0.0641496403038289,0.056401443463335435,0.0668075452079647,0.08263515440990357,0.07438026972044781,indigo,COLOUR
0.0809315644583412,0.061643853885606406,0.059059311114572695,0.07532205279795114,0.08159881602531664,0.07661888580089467,violet,COLOUR
0.08277949187502831,0.058623522057894506,0.05651965666045935,0.06299417471809939,0.07727361646568397,0.07562185235276436,crimson,COLOUR
